Date,Description,Amount,Type
01/12/2024,Swiggy Food Order - Pizza Hut,-450.00,Debit
02/12/2024,Amazon Shopping - Electronics,-2150.50,Debit
03/12/2024,Salary Credit - December,55000.00,Credit
04/12/2024,Netflix Subscription,-799.00,Debit
05/12/2024,Uber Ride to Office,-285.00,Debit
06/12/2024,Big Basket Groceries,-1850.75,Debit
07/12/2024,HDFC Credit Card Payment,-5000.00,Debit
08/12/2024,Zomato Food Delivery,-320.50,Debit
09/12/2024,Shell Petrol Pump,-2500.00,Debit
10/12/2024,Apollo Pharmacy - Medicines,-650.00,Debit
11/12/2024,Starbucks Coffee,-385.00,Debit
12/12/2024,Electricity Bill Payment,-1850.00,Debit
13/12/2024,Movie Tickets - PVR Cinemas,-800.00,Debit
14/12/2024,Amazon Prime Video Subscription,-299.00,Debit
15/12/2024,Ola Cab to Airport,-450.00,Debit
16/12/2024,Dominos Pizza Order,-599.00,Debit
17/12/2024,Myntra Shopping - Clothing,-2340.00,Debit
18/12/2024,Freelance Project Payment,15000.00,Credit
19/12/2024,Internet Bill - Airtel,-999.00,Debit
20/12/2024,Spotify Premium,-119.00,Debit
